# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-208.91232948	-0.00147749
-208.87897307	-0.00150441
-208.84561666	-0.00164894
-208.81226025	-0.00161830
-208.77890384	-0.00153815
-208.74554743	-0.00154143
-208.71219102	-0.00158725
-208.67883461	-0.00180732
-208.64547820	-0.00156115
-208.61212179	-0.00160466
-208.57876538	-0.00182747
-208.54540897	-0.00161443
-208.51205256	-0.00166749
-208.47869615	-0.00152760
-208.44533974	-0.00178132
-208.41198333	-0.00192052
-208.37862692	-0.00185690
-208.34527051	-0.00213014
-208.31191410	-0.00191372
-208.27855769	-0.00223467
-208.24520129	-0.00230718
-208.21184488	-0.00254719
-208.17848847	-0.00261617
-208.14513206	-0.00270839
-208.11177565	-0.00287152
-208.07841924	-0.00330460
-208.04506283	-0.00342334
-208.01170642	-0.00374711
-207.97835001	-0.00384978
-207.94499360	-0.00377274
-207.91163719	-0.00383140
-207.87828078	-0.00396851
-207.84492437	-0.00406992
-207.81156796	-0.00397596
-207.77821155	-0.00391231
-207.74485514	-0.00402245
-207.71149873	-0.00426789
-207.67814232	-0.00405315
-207.64478591	-0.00413276
-207.61142950	-0.00393998
-207.57807309	-0.00387955
-207.54471669	-0.00383059
-207.51136028	-0.00318167
-207.47800387	-0.00358945
-207.44464746	-0.00310342
-207.41129105	-0.00279042
-207.37793464	-0.00293900
-207.34457823	-0.00270813
-207.31122182	-0.00223321
-207.27786541	-0.00229124
-207.24450900	-0.00189811
-207.21115259	-0.00136407
-207.17779618	-0.00114653
-207.14443977	-0.00091960
-207.11108336	-0.00071731
-207.07772695	-0.00024979
-207.04437054	0.00029667
-207.01101413	0.00024786
-206.97765772	0.00092826
-206.94430131	0.00131202
-206.91094490	0.00204045
-206.87758849	0.00249602
-206.84423209	0.00320536
-206.81087568	0.00355693
-206.77751927	0.00377684
-206.74416286	0.00488089
-206.71080645	0.00490031
-206.67745004	0.00573591
-206.64409363	0.00651859
-206.61073722	0.00712564
-206.57738081	0.00806787
-206.54402440	0.00861298
-206.51066799	0.00953751
-206.47731158	0.01062102
-206.44395517	0.01139962
-206.41059876	0.01290626
-206.37724235	0.01370663
