# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-197.27094255	-0.02025215
-197.23758614	-0.01950037
-197.20422973	-0.01744618
-197.17087332	-0.01428647
-197.13751692	-0.00992176
-197.10416051	-0.00349806
-197.07080410	0.00270304
-197.03744769	0.00851216
-197.00409128	0.01338261
-196.97073487	0.01701854
-196.93737846	0.01971488
-196.90402205	0.02096653
-196.87066564	0.02230251
-196.83730923	0.02266302
-196.80395282	0.02103418
-196.77059641	0.01795670
-196.73724000	0.01233587
-196.70388359	0.00549363
-196.67052718	-0.00162316
-196.63717077	-0.00832666
-196.60381436	-0.01400566
-196.57045795	-0.01802078
-196.53710154	-0.01886449
-196.50374513	-0.01835431
-196.47038872	-0.01685370
-196.43703232	-0.01527162
-196.40367591	-0.01434643
-196.37031950	-0.01364064
-196.33696309	-0.01286811
-196.30360668	-0.01135804
-196.27025027	-0.00954828
-196.23689386	-0.00783175
-196.20353745	-0.00610677
-196.17018104	-0.00484905
-196.13682463	-0.00422151
-196.10346822	-0.00352336
-196.07011181	-0.00167912
-196.03675540	0.00137082
-196.00339899	0.00470754
-195.97004258	0.00837186
-195.93668617	0.01118343
-195.90332976	0.01325180
-195.86997335	0.01370908
-195.83661694	0.01357748
-195.80326053	0.01320101
-195.76990412	0.01208288
-195.73654772	0.01010203
-195.70319131	0.00751845
-195.66983490	0.00404304
-195.63647849	-0.00128617
-195.60312208	-0.00644792
-195.56976567	-0.01109405
-195.53640926	-0.01445879
-195.50305285	-0.01609934
-195.46969644	-0.01601667
-195.43634003	-0.01391892
-195.40298362	-0.01048039
-195.36962721	-0.00602228
-195.33627080	-0.00133206
-195.30291439	0.00345390
-195.26955798	0.00936925
-195.23620157	0.01518595
-195.20284516	0.02022075
-195.16948875	0.02349409
-195.13613234	0.02422609
-195.10277593	0.02216271
-195.06941952	0.01770229
-195.03606312	0.01212380
-195.00270671	0.00670942
-194.96935030	0.00145657
-194.93599389	-0.00327583
-194.90263748	-0.00746639
-194.86928107	-0.01096064
-194.83592466	-0.01471054
-194.80256825	-0.01769665
-194.76921184	-0.01926306
-194.73585543	-0.01965016
-194.70249902	-0.01850009
-194.66914261	-0.01629242
-194.63578620	-0.01461177
-194.60242979	-0.01342426
-194.56907338	-0.01419279
-194.53571697	-0.01589143
-194.50236056	-0.01754318
-194.46900415	-0.01953983
-194.43564774	-0.02059764
-194.40229133	-0.02007392
-194.36893492	-0.01843576
-194.33557852	-0.01564989
-194.30222211	-0.01077828
-194.26886570	-0.00506095
-194.23550929	0.00092470
-194.20215288	0.00770208
-194.16879647	0.01412329
-194.13544006	0.01988839
-194.10208365	0.02304120
-194.06872724	0.02404984
-194.03537083	0.02225772
-194.00201442	0.01837689
-193.96865801	0.01303686
-193.93530160	0.00684202
-193.90194519	0.00010039
-193.86858878	-0.00695842
-193.83523237	-0.01315271
-193.80187596	-0.01816721
